time accel_x accel_y accel_z gyro_x gyro_y gyro_z
6256973 +1.006836 +0.000000 +0.026855 -3.963415 +0.853659 +2.256098
6256975 +1.004883 +0.000000 +0.019531 -3.902439 +0.853659 +2.134146
6256977 +1.003418 -0.001465 +0.028809 -3.780488 +0.670732 +2.012195
6256979 +1.011230 +0.005859 +0.032227 -3.963415 +1.097561 +2.134146
6256981 +1.007812 +0.000488 +0.020996 -3.902439 +0.792683 +2.134146
6256983 +1.009277 +0.004395 +0.022949 -3.902439 +0.731707 +2.012195
6256985 +1.006836 +0.002930 +0.020996 -3.963415 +0.853659 +2.256098
6256987 +1.004395 +0.002441 +0.029785 -3.841464 +0.975610 +2.195122
6256989 +1.011719 +0.000000 +0.027344 -3.841464 +0.914634 +2.317073
6256991 +1.005859 +0.001465 +0.023438 -3.841464 +0.731707 +2.195122
6256993 +1.008789 +0.000977 +0.023926 -3.902439 +0.792683 +2.134146
6256995 +1.008301 +0.003418 +0.021973 -4.085366 +0.914634 +2.073171
6256997 +1.007812 -0.002441 +0.026855 -3.780488 +0.853659 +1.768293
6256999 +1.004883 +0.000000 +0.026367 -3.780488 +0.914634 +1.951220
6257001 +1.006348 -0.002930 +0.031250 -3.963415 +0.853659 +2.012195
6257003 +1.008789 -0.003418 +0.028809 -3.841464 +0.792683 +2.134146
6257005 +1.008301 -0.002930 +0.031250 -3.963415 +0.853659 +2.134146
6257007 +1.004883 +0.000488 +0.027832 -3.780488 +0.792683 +1.890244
6257009 +1.004883 -0.000488 +0.029785 -3.902439 +1.036585 +2.317073
6257011 +1.008301 +0.002441 +0.031250 -3.841464 +0.975610 +2.012195
6257013 +1.008301 -0.002441 +0.030273 -3.841464 +0.914634 +2.012195
6257015 +1.014648 -0.003418 +0.026855 -3.841464 +0.792683 +2.134146
6257017 +1.008301 +0.005371 +0.020020 -3.719512 +0.853659 +2.256098
6257019 +1.007812 -0.003418 +0.033691 -3.902439 +0.853659 +2.012195
6257021 +1.002930 +0.006836 +0.030273 -3.902439 +0.731707 +1.951220
6257023 +1.006836 -0.004883 +0.034180 -3.841464 +0.609756 +2.256098
6257025 +1.010254 +0.001465 +0.022949 -3.902439 +0.853659 +2.073171
6257027 +1.008789 -0.001465 +0.022461 -3.902439 +0.853659 +2.012195
6257029 +1.008301 +0.003418 +0.030762 -3.902439 +0.853659 +2.195122
